         16694 function calls (16570 primitive calls) in 2.238 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
        1    0.000    0.000    0.000    0.000 selectors.py:80(BaseSelector)
        1    0.000    0.000    0.000    0.000 __init__.py:668(Misc)
        1    0.000    0.000    0.000    0.000 ssl.py:415(Purpose)
        6    0.000    0.000    0.000    0.000 enum.py:1541(__and__)
       66    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
       15    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       69    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        2    0.000    0.000    0.000    0.000 __init__.py:1411(bind)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        2    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
      212    0.000    0.000    0.000    0.000 enum.py:236(__set_name__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
        1    0.000    0.000    0.000    0.000 ssl.py:944(SSLSocket)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        2    0.000    0.000    0.000    0.000 __init__.py:1393(_bind)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
        1    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.000    0.000 ssl.py:422(SSLContext)
        3    0.000    0.000    0.000    0.000 __init__.py:1588(_register)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      100    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       25    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       34    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1682(path_hook_for_FileFinder)
        3    0.000    0.000    0.000    0.000 {method 'gettimeout' of '_socket.socket' objects}
       21    0.000    0.000    0.000    0.000 _parser.py:240(__next)
       40    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      5/3    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 idna.py:155(encode)
      100    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        9    0.000    0.000    0.000    0.000 enum.py:713(__call__)
      7/5    0.000    0.000    0.000    0.000 _parser.py:178(getwidth)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      210    0.000    0.000    0.000    0.000 enum.py:1172(__init__)
       20    0.000    0.000    0.000    0.000 _parser.py:256(match)
        2    0.000    0.000    0.000    0.000 enum.py:954(_get_mixins_)
       20    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       36    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        3    0.000    0.000    0.000    0.000 <frozen os>:680(__getitem__)
      104    0.000    0.000    0.000    0.000 enum.py:929(<lambda>)
        2    0.000    0.000    0.000    0.000 __init__.py:1543(_options)
        1    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
        5    0.000    0.000    0.000    0.000 {method 'createcommand' of '_tkinter.tkapp' objects}
        2    0.000    0.000    0.000    0.000 _parser.py:98(closegroup)
        2    0.000    0.000    0.000    0.000 enum.py:995(_find_data_type_)
        4    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
       20    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        1    0.000    0.000    0.000    0.000 selectors.py:206(_BaseSelectorImpl)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1564(__init__)
       22    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       40    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        6    0.000    0.000    0.000    0.000 _compiler.py:216(_compile_charset)
        1    0.000    0.000    0.000    0.000 ssl.py:783(SSLObject)
        4    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
        3    0.000    0.000    0.000    0.000 __init__.py:102(_cnfmerge)
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       16    0.000    0.000    0.000    0.000 _parser.py:261(get)
       20    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       10    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       15    0.000    0.000    0.000    0.000 ssl.py:938(_sslcopydoc)
      2/1    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       42    0.000    0.000    0.000    0.000 enum.py:93(_is_single_bit)
        9    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
        1    0.000    0.000    0.000    0.000 <frozen _collections_abc>:804(get)
        7    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
        1    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
       23    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:3616(Text)
       20    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       33    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:2751(Canvas)
        2    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
        3    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
        1    0.000    0.000    0.000    0.000 idna.py:308(getregentry)
       30    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       23    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       46    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       20    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:2016(Wm)
        1    0.000    0.000    0.000    0.000 <frozen _collections_abc>:811(__contains__)
      2/1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       22    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 socket.py:215(socket)
       11    0.000    0.000    0.000    0.000 enum.py:815(__members__)
        1    0.000    0.000    0.000    0.000 {method 'getpeername' of '_socket.socket' objects}
        3    0.000    0.000    0.000    0.000 <frozen os>:762(encode)
        1    0.000    0.000    0.000    0.000 {method 'getsockopt' of '_socket.socket' objects}
       11    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 socket.py:516(family)
       27    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 __init__.py:3351(Menu)
        9    0.000    0.000    0.000    0.000 enum.py:1116(__new__)
        1    0.000    0.000    0.000    0.000 ssl.py:670(verify_mode)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:169(basename)
        1    0.000    0.000    0.000    0.000 browser.py:21(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2606(_setup)
        7    0.000    0.000    0.000    0.000 enum.py:772(__delattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:3105(Entry)
        3    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
       23    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       23    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 enum.py:1022(_find_new_)
       16    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       15    0.000    0.000    0.000    0.000 enum.py:1666(_simple_enum)
       40    0.000    0.000    0.000    0.000 enum.py:807(<genexpr>)
        4    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:117(splitext)
       23    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
        2    0.000    0.000    0.000    0.000 socket.py:100(_intenum_converter)
       10    0.000    0.000    0.000    0.000 _parser.py:293(tell)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        3    0.000    0.000    0.000    0.000 _compiler.py:467(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 __init__.py:3235(Listbox)
        1    0.000    0.000    0.000    0.000 ssl.py:678(verify_mode)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2548(Grid)
        2    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
       10    0.000    0.000    0.000    0.000 _parser.py:83(groups)
        1    0.000    0.000    0.000    0.000 __init__.py:4242(Spinbox)
       10    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 constants.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 socket.py:506(detach)
        1    0.000    0.000    0.000    0.000 enum.py:944(_check_for_existing_members_)
        4    0.000    0.000    0.000    0.000 enum.py:803(__iter__)
        3    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 __init__.py:367(Variable)
        1    0.000    0.000    0.000    0.000 <frozen codecs>:94(__new__)
        5    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
        5    0.000    0.000    0.000    0.000 _parser.py:176(append)
        4    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 ssl.py:394(_ASN1Object)
        1    0.000    0.000    0.000    0.000 __init__.py:4138(PhotoImage)
        4    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 socket.py:664(SocketIO)
        1    0.000    0.000    0.000    0.000 browser.py:188(Browser)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        6    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
        6    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
       17    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'close' of 'select.kqueue' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:2320(Tk)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:170(EventType)
        3    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
        3    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        2    0.000    0.000    0.000    0.000 _parser.py:312(_class_escape)
        1    0.000    0.000    0.000    0.000 enum.py:376(__init__)
        1    0.000    0.000    0.000    0.000 <frozen genericpath>:133(_splitext)
        1    0.000    0.000    0.000    0.000 selectors.py:290(SelectSelector)
        1    0.000    0.000    0.000    0.000 browser.py:13(URL)
        1    0.000    0.000    0.000    0.000 ssl.py:159(TLSVersion)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
        1    0.000    0.000    0.000    0.000 __init__.py:2451(Pack)
        1    0.000    0.000    0.000    0.000 socket.py:522(type)
        1    0.000    0.000    0.000    0.000 selectors.py:506(KqueueSelector)
        2    0.000    0.000    0.000    0.000 <frozen os>:766(decode)
        1    0.000    0.000    0.000    0.000 ssl.py:185(_TLSAlertType)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
        6    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 __init__.py:4023(_setit)
        1    0.000    0.000    0.000    0.000 __init__.py:3061(Checkbutton)
        5    0.000    0.000    0.000    0.000 _parser.py:164(__len__)
        1    0.000    0.000    0.000    0.000 selectors.py:341(_PollLikeSelector)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1276(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:4444(PanedWindow)
        1    0.000    0.000    0.000    0.000 enum.py:973(_find_data_repr_)
        4    0.000    0.000    0.000    0.000 {built-in method sys._getframemodulename}
        2    0.000    0.000    0.000    0.000 enum.py:197(__get__)
        8    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
        3    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.000    0.000 ssl.py:227(_TLSMessageType)
        4    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
        1    0.000    0.000    0.000    0.000 __init__.py:4076(Image)
        3    0.000    0.000    0.000    0.000 __init__.py:1956(__init__)
        1    0.000    0.000    0.000    0.000 selectors.py:433(PollSelector)
        1    0.000    0.000    0.000    0.000 __init__.py:2497(Place)
        1    0.000    0.000    0.000    0.000 selectors.py:60(_SelectorMapping)
        2    0.000    0.000    0.000    0.000 {built-in method maketrans}
        3    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
        5    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
        3    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
        3    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _tkinter._flatten}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1570(<genexpr>)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 __init__.py:2603(BaseWidget)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        4    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        4    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:213(Event)
        1    0.000    0.000    0.000    0.000 __init__.py:3566(Scrollbar)
        1    0.000    0.000    0.000    0.000 __init__.py:3527(Scale)
        1    0.000    0.000    0.000    0.000 __init__.py:548(StringVar)
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:341(__subclasshook__)
        1    0.000    0.000    0.000    0.000 __init__.py:618(BooleanVar)
        1    0.000    0.000    0.000    0.000 __init__.py:1974(XView)
        1    0.000    0.000    0.000    0.000 idna.py:154(Codec)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.000    0.000 __init__.py:147(_VersionInfoType)
        1    0.000    0.000    0.000    0.000 __init__.py:3494(Radiobutton)
        2    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:572(IntVar)
        1    0.000    0.000    0.000    0.000 ssl.py:170(_TLSContentType)
        1    0.000    0.000    0.000    0.000 __init__.py:597(DoubleVar)
        1    0.000    0.000    0.000    0.000 __init__.py:2704(Button)
        1    0.000    0.000    0.000    0.000 ssl.py:1087(_check_connected)
        1    0.000    0.000    0.000    0.000 __init__.py:1995(YView)
